epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,216.379,0.67425,0.31128,0.0034,0.96748,0.96774,0.98992,0.84623,0.61509,0.24375,0.00316,0.0008252,0.0008252,0.0008252
91,218.635,0.68874,0.31803,0.00347,0.96838,0.98806,0.99184,0.82733,0.64557,0.2329,0.00335,0.000812,0.000812,0.000812
92,220.9,0.68375,0.31374,0.00345,0.94718,0.97581,0.9901,0.8384,0.6363,0.24212,0.00335,0.0007988,0.0007988,0.0007988
93,223.155,0.65321,0.29915,0.00325,0.96847,0.99078,0.99076,0.82264,0.6617,0.24754,0.00351,0.0007856,0.0007856,0.0007856
94,225.659,0.65587,0.32297,0.00334,0.98319,0.94334,0.98944,0.83567,0.63461,0.25758,0.00326,0.0007724,0.0007724,0.0007724
95,227.967,0.65456,0.34124,0.00341,0.94548,0.97892,0.98968,0.83521,0.64446,0.24663,0.00346,0.0007592,0.0007592,0.0007592
96,230.264,0.62898,0.28994,0.00309,0.9568,0.98387,0.9899,0.84219,0.62794,0.23908,0.00331,0.000746,0.000746,0.000746
97,232.636,0.66514,0.31272,0.0032,0.97598,0.98302,0.98988,0.83533,0.63875,0.23564,0.00336,0.0007328,0.0007328,0.0007328
98,234.956,0.687,0.31925,0.00317,0.98325,0.94674,0.98784,0.84068,0.61088,0.25094,0.00324,0.0007196,0.0007196,0.0007196
99,237.213,0.63041,0.30799,0.00305,0.97191,0.95161,0.98735,0.83482,0.61024,0.25272,0.00321,0.0007064,0.0007064,0.0007064
100,239.486,0.66613,0.30963,0.00344,0.9832,0.94418,0.99063,0.83714,0.62142,0.23698,0.0033,0.0006932,0.0006932,0.0006932
101,241.733,0.65226,0.29332,0.00319,0.95181,0.99194,0.9919,0.83883,0.62138,0.23728,0.0032,0.00068,0.00068,0.00068
102,244.01,0.71129,0.33123,0.0036,0.96018,0.97239,0.99144,0.8448,0.62902,0.23555,0.00333,0.0006668,0.0006668,0.0006668
103,246.274,0.66247,0.30309,0.00333,0.96667,0.98387,0.993,0.83582,0.64264,0.24077,0.00341,0.0006536,0.0006536,0.0006536
104,248.75,0.66993,0.3263,0.00347,0.98309,0.93778,0.99209,0.83382,0.65067,0.23494,0.00342,0.0006404,0.0006404,0.0006404
105,251.04,0.67198,0.34999,0.00339,0.96694,0.99194,0.99371,0.84357,0.61901,0.22589,0.00319,0.0006272,0.0006272,0.0006272
106,253.317,0.6369,0.31396,0.00339,0.9756,0.96742,0.99159,0.8404,0.64292,0.24249,0.00345,0.000614,0.000614,0.000614
107,255.611,0.6463,0.30943,0.00283,0.96786,0.97137,0.99218,0.85141,0.59819,0.23039,0.00313,0.0006008,0.0006008,0.0006008
108,257.96,0.64182,0.2848,0.00316,0.97613,0.98958,0.9942,0.8426,0.61857,0.2149,0.00332,0.0005876,0.0005876,0.0005876
109,260.253,0.63664,0.2917,0.00319,0.98027,0.97581,0.99226,0.84464,0.61694,0.23039,0.00325,0.0005744,0.0005744,0.0005744
110,262.522,0.65709,0.29541,0.00306,0.96768,0.97581,0.99161,0.83347,0.64024,0.24341,0.00334,0.0005612,0.0005612,0.0005612
111,264.798,0.66228,0.29813,0.0032,0.99186,0.98239,0.9929,0.84155,0.63296,0.22227,0.00334,0.000548,0.000548,0.000548
112,267.125,0.68091,0.30847,0.00375,0.96762,0.96408,0.9915,0.84809,0.61356,0.23508,0.00315,0.0005348,0.0005348,0.0005348
113,269.368,0.65506,0.27625,0.00301,0.96057,0.98226,0.99147,0.83573,0.63233,0.23867,0.00338,0.0005216,0.0005216,0.0005216
114,271.638,0.62913,0.26814,0.00314,0.96845,0.99026,0.99248,0.84629,0.59552,0.21519,0.00303,0.0005084,0.0005084,0.0005084
115,274.009,0.60798,0.28548,0.00296,0.98916,0.95968,0.9924,0.85025,0.60721,0.22953,0.00312,0.0004952,0.0004952,0.0004952
116,276.275,0.60633,0.27136,0.00309,0.97324,0.95968,0.99097,0.85648,0.60813,0.23544,0.00312,0.000482,0.000482,0.000482
117,278.522,0.62354,0.27641,0.0031,0.95348,0.99181,0.9916,0.84647,0.62446,0.22996,0.00333,0.0004688,0.0004688,0.0004688
118,280.765,0.63068,0.36879,0.00327,0.9822,0.95968,0.99078,0.85557,0.58071,0.22841,0.00294,0.0004556,0.0004556,0.0004556
119,282.991,0.59259,0.30704,0.00285,0.9836,0.96708,0.99161,0.85886,0.57972,0.21675,0.00295,0.0004424,0.0004424,0.0004424
120,285.42,0.61104,0.29806,0.00314,0.97084,0.97581,0.9923,0.85631,0.58918,0.21744,0.00306,0.0004292,0.0004292,0.0004292
121,287.698,0.62977,0.30973,0.00316,0.9918,0.97493,0.99307,0.85583,0.58712,0.21441,0.00303,0.000416,0.000416,0.000416
122,289.965,0.61651,0.30751,0.00306,0.97363,0.99194,0.99247,0.84857,0.5995,0.2131,0.00311,0.0004028,0.0004028,0.0004028
123,292.202,0.60421,0.27689,0.00303,0.98051,0.98387,0.99229,0.84552,0.61023,0.2155,0.00319,0.0003896,0.0003896,0.0003896
124,294.505,0.62845,0.28276,0.00292,0.98398,0.99091,0.99279,0.86041,0.58589,0.20573,0.00299,0.0003764,0.0003764,0.0003764
125,296.749,0.62112,0.28075,0.00326,0.99182,0.97751,0.99265,0.85836,0.59234,0.20618,0.00302,0.0003632,0.0003632,0.0003632
126,298.995,0.61257,0.28623,0.00325,0.99193,0.99096,0.99363,0.85562,0.57836,0.19913,0.00292,0.00035,0.00035,0.00035
127,301.274,0.6073,0.2709,0.00304,0.96465,0.99194,0.99321,0.855,0.58181,0.20824,0.00304,0.0003368,0.0003368,0.0003368
128,303.581,0.59248,0.29105,0.00297,0.98126,0.98387,0.99339,0.8616,0.57692,0.20764,0.00296,0.0003236,0.0003236,0.0003236
129,305.889,0.56328,0.28438,0.00276,0.99184,0.97969,0.99357,0.86217,0.57212,0.20817,0.00293,0.0003104,0.0003104,0.0003104
130,308.214,0.60602,0.26846,0.00279,0.97592,0.98061,0.99254,0.85907,0.57683,0.21021,0.00294,0.0002972,0.0002972,0.0002972
131,310.509,0.58033,0.26979,0.00286,0.96821,0.98387,0.99216,0.85358,0.56722,0.2167,0.00289,0.000284,0.000284,0.000284
132,312.796,0.56967,0.26867,0.00276,0.98344,0.96774,0.99265,0.85832,0.57064,0.21457,0.003,0.0002708,0.0002708,0.0002708
133,315.201,0.58666,0.27977,0.00293,0.96639,0.99194,0.99294,0.85968,0.57133,0.20417,0.00302,0.0002576,0.0002576,0.0002576
134,317.498,0.56667,0.26168,0.00273,0.97176,0.98387,0.99303,0.86116,0.5744,0.2103,0.00298,0.0002444,0.0002444,0.0002444
